,Title,Year,Audience,Runtime,Rating,Earnings,Color,Genres,G_Action,G_Adventure,G_Animation,G_Biography,G_Comedy,G_Crime,G_Documentary,G_Drama,G_Family,G_Fantasy,G_History,G_Horror,G_Music,G_Musical,G_Mystery,G_Romance,G_SciFi,G_Thriller,G_War,G_Western
0,Avatar,2009,PG-13,162,7.9,2847246203,#283c64,"['Action', 'Adventure', 'Fantasy']",True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,Avengers: Endgame,2019,PG-13,181,8.4,2797501328,#30135f,"['Action', 'Adventure', 'Drama']",True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2,Titanic,1997,PG-13,194,7.9,2201647264,#50453e,"['Drama', 'Romance']",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
3,Star Wars: Episode VII - The Force Awakens,2015,PG-13,138,7.9,2069521700,#ab5d41,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4,Avengers: Infinity War,2018,PG-13,149,8.5,2048359754,#943d2e,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
5,Spider-Man: No Way Home,2021,PG-13,148,8.5,1738886280,#b8897c,"['Action', 'Adventure', 'Fantasy']",True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6,Jurassic World,2015,PG-13,124,7,1670516444,#4a565e,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
7,The Lion King,2019,PG,118,6.9,1662899439,#df4d05,"['Animation', 'Adventure', 'Drama']",False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
8,The Avengers,2012,PG-13,143,8.1,1518815515,#4b7278,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
9,Furious 7,2015,PG-13,137,7.2,1515341399,#e5e5e1,"['Action', 'Crime', 'Thriller']",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10,Frozen II,2019,PG,103,6.8,1450026933,#38417c,"['Animation', 'Adventure', 'Comedy']",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,Avengers: Age of Ultron,2015,PG-13,141,7.3,1402809540,#3e4c5b,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
12,Black Panther,2018,PG-13,134,7.3,1347597973,#2a3849,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
